ID:,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,deposit,days_in_waiting_list,adr,required_car_parking_spaces,total_of_special_requests
108,0,96,2015,7,11,2,1,2,0,0,0,0,0,0,0,0,94.5,0,0
109,1,96,2015,7,11,2,1,2,0,0,0,0,0,0,0,0,94.5,0,0
110,1,114,2015,7,11,2,1,2,0,0,0,0,0,0,0,0,76.5,0,0
111,0,96,2015,7,11,2,1,2,0,0,0,0,0,0,0,0,94.5,0,0
112,1,96,2015,7,11,2,1,2,0,0,0,0,0,0,0,0,94.5,0,0
113,0,3,2015,7,11,2,1,3,0,0,0,0,0,0,0,0,138.5,0,0
114,0,96,2015,7,11,2,1,2,0,0,0,0,0,0,0,0,94.5,0,0
115,1,96,2015,7,11,2,1,2,0,0,0,0,0,0,0,0,94.5,0,0
116,1,96,2015,7,11,2,1,2,0,0,0,0,0,0,0,0,94.5,0,0
117,1,69,2015,7,12,2,0,2,0,0,0,0,0,1,0,0,76.5,0,1
118,1,59,2015,7,12,2,4,2,0,0,0,0,0,0,0,0,76.5,0,0
119,0,96,2015,7,13,1,0,2,0,0,0,0,0,0,0,0,63.75,0,0
120,1,60,2015,7,13,1,0,2,0,0,0,0,0,0,0,0,76.5,0,0
121,1,122,2015,7,13,1,0,2,0,0,0,0,0,0,0,0,76.5,0,2
122,1,60,2015,7,13,1,0,2,0,0,0,0,0,0,0,0,91.33,0,0
123,1,60,2015,7,13,1,0,2,0,0,0,0,0,0,0,0,76.5,0,0
124,1,60,2015,7,13,1,0,2,1,0,0,0,0,0,0,0,91.33,0,0
125,1,122,2015,7,13,1,0,2,0,0,0,0,0,0,0,0,76.5,0,2
126,1,60,2015,7,13,1,0,2,0,0,0,0,0,0,0,0,91.33,0,0
127,1,123,2015,7,13,1,0,2,0,0,0,0,0,0,0,0,76.5,0,1
128,1,60,2015,7,13,1,0,1,0,0,0,0,0,0,0,0,67.15,0,0
129,1,73,2015,7,13,1,2,2,0,0,0,0,0,0,0,0,76.5,0,0
130,1,77,2015,7,13,1,2,2,0,0,0,0,0,0,0,0,76.5,0,1
131,1,123,2015,7,13,1,3,2,0,0,0,0,0,0,0,0,76.5,0,0
132,1,94,2015,7,14,0,3,2,0,0,0,0,0,0,0,0,76.5,0,1
133,1,120,2015,7,14,0,5,2,0,0,0,0,0,0,0,0,76.5,0,1
134,1,94,2015,7,14,2,7,2,0,0,0,0,0,0,0,0,55.96,0,0
135,1,0,2015,7,15,0,1,2,0,0,0,0,0,0,0,0,0,0,0
136,1,79,2015,7,15,0,4,2,0,0,0,0,0,0,0,0,85.5,0,1
137,1,92,2015,7,15,0,4,2,0,0,0,0,0,0,0,0,89.25,0,2
138,1,92,2015,7,15,0,4,2,0,0,0,0,0,0,0,0,89.25,0,1
139,1,125,2015,7,15,2,4,2,0,0,0,0,0,0,0,0,76.5,0,0
140,0,0,2015,7,15,2,5,2,0,0,0,0,0,4,0,0,0,0,0
141,1,62,2015,7,15,2,7,1,0,0,0,0,0,0,0,0,68,0,1
142,1,109,2015,7,15,2,7,1,0,0,0,0,0,0,0,0,68,0,1
143,1,109,2015,7,16,0,1,2,0,0,0,0,0,0,0,0,76.5,0,0
144,1,109,2015,7,16,0,1,2,0,0,0,0,0,0,0,0,76.5,0,1
145,1,80,2015,7,16,0,2,2,0,0,0,0,0,0,0,0,76.5,0,1
146,1,122,2015,7,16,0,2,2,0,0,0,0,0,0,0,0,85.5,0,0
147,1,82,2015,7,16,2,5,2,0,0,0,0,0,0,0,0,76.5,0,0
148,1,82,2015,7,16,0,3,2,0,0,0,0,0,0,0,0,76.5,0,0
149,1,107,2015,7,17,0,2,1,0,0,0,0,0,0,0,0,52.36,0,0
150,0,18,2015,7,18,1,1,1,0,0,0,0,0,0,0,0,57.5,0,0
151,0,18,2015,7,18,1,1,1,0,0,0,0,0,0,0,0,57.5,0,0
152,0,18,2015,7,18,1,1,3,0,0,0,0,0,0,0,0,108.75,0,0
153,0,18,2015,7,18,1,1,2,0,0,0,0,0,0,0,0,75,0,0
154,0,18,2015,7,18,1,1,2,0,0,0,0,0,0,0,0,75,0,0
155,0,18,2015,7,18,1,1,2,0,0,0,0,0,0,0,0,75,0,0
156,0,18,2015,7,18,1,1,2,0,0,0,0,0,0,0,0,75,0,0
157,0,18,2015,7,18,1,1,2,0,0,0,0,0,0,0,0,75,0,0
158,0,18,2015,7,18,1,1,2,0,0,0,0,0,0,0,0,75,0,0
159,0,18,2015,7,18,1,1,2,0,0,0,0,0,0,0,0,75,0,0
160,0,18,2015,7,18,1,1,1,0,0,0,0,0,0,0,0,57.5,0,0
161,0,18,2015,7,18,1,1,2,0,0,0,0,0,0,0,0,75,0,0
162,0,18,2015,7,18,1,1,2,0,0,0,0,0,0,0,0,75,0,0
163,0,18,2015,7,18,1,1,3,0,0,0,0,0,0,0,0,108.75,0,0
164,0,18,2015,7,18,1,1,2,0,0,0,0,0,0,0,0,75,0,0
165,0,18,2015,7,18,1,1,2,0,0,0,0,0,0,0,0,75,0,0
166,0,18,2015,7,18,1,1,2,0,0,0,0,0,0,0,0,75,0,0
167,0,18,2015,7,18,1,1,1,0,0,0,0,0,0,0,0,0,0,0
168,0,18,2015,7,18,1,1,3,0,0,0,0,0,0,0,0,108.75,0,0
169,0,18,2015,7,18,1,1,2,0,0,0,0,0,0,0,0,75,0,0
170,0,18,2015,7,18,1,1,1,0,0,0,0,0,0,0,0,57.5,0,0
171,1,103,2015,7,18,2,1,2,0,0,0,0,0,0,0,0,94.5,0,0
172,0,103,2015,7,18,2,1,1,0,0,0,0,0,1,0,0,72.5,0,0
173,1,103,2015,7,18,2,1,2,0,0,0,0,0,0,0,0,94.5,0,0
174,0,103,2015,7,18,2,1,2,0,0,0,0,0,0,0,0,94.5,0,0
175,1,103,2015,7,18,2,1,2,0,0,0,0,0,0,0,0,94.5,0,0
176,1,103,2015,7,18,2,1,2,0,0,0,0,0,0,0,0,94.5,0,0
177,1,103,2015,7,18,2,1,2,0,0,0,0,0,0,0,0,94.5,0,0
178,1,103,2015,7,18,2,1,2,0,0,0,0,0,0,0,0,94.5,0,0
179,1,103,2015,7,18,2,1,2,0,0,0,0,0,0,0,0,94.5,0,0
180,0,103,2015,7,18,2,1,2,0,0,0,0,0,0,0,0,94.5,0,0
181,0,103,2015,7,18,2,1,2,0,0,0,0,0,0,0,0,94.5,0,0
182,1,103,2015,7,18,2,1,2,0,0,0,0,0,0,0,0,94.5,0,0
183,1,103,2015,7,18,2,1,2,0,0,0,0,0,0,0,0,94.5,0,0
184,0,103,2015,7,18,2,1,2,0,0,0,0,0,0,0,0,94.5,0,0
185,1,103,2015,7,18,2,1,2,0,0,0,0,0,0,0,0,94.5,0,0
186,1,103,2015,7,18,2,1,2,0,0,0,0,0,0,0,0,94.5,0,0
187,1,103,2015,7,18,2,1,2,0,0,0,0,0,0,0,0,94.5,0,0
188,1,103,2015,7,18,2,1,2,0,0,0,0,0,0,0,0,94.5,0,0
189,1,103,2015,7,18,2,1,2,0,0,0,0,0,0,0,0,94.5,0,0
190,1,103,2015,7,18,2,1,2,0,0,0,0,0,0,0,0,94.5,0,0
191,0,103,2015,7,18,2,1,3,0,0,0,0,0,1,0,0,138.5,0,0
192,1,103,2015,7,18,2,1,2,0,0,0,0,0,0,0,0,94.5,0,0
193,1,103,2015,7,18,2,1,2,0,0,0,0,0,0,0,0,94.5,0,0
194,1,103,2015,7,18,2,1,2,0,0,0,0,0,0,0,0,94.5,0,0
195,0,12,2015,7,18,2,2,2,0,0,0,0,0,0,0,0,62,0,0
196,0,12,2015,7,18,2,2,2,0,0,0,0,0,0,0,0,62,0,0
197,0,12,2015,7,18,2,2,1,0,0,0,0,0,0,0,0,0,0,0
198,1,12,2015,7,18,2,2,2,0,0,0,0,0,0,0,0,62,0,0
199,1,12,2015,7,18,2,2,2,0,0,0,0,0,0,0,0,62,0,0
200,1,12,2015,7,18,2,2,2,0,0,0,0,0,0,0,0,62,0,0
201,1,88,2015,7,18,2,2,1,0,0,0,0,0,0,0,0,68,0,1
202,1,12,2015,7,18,2,2,2,0,0,0,0,0,0,0,0,62,0,0
203,1,12,2015,7,18,2,2,2,0,0,0,0,0,0,0,0,62,0,0
204,0,12,2015,7,18,2,2,1,0,0,0,0,0,1,0,0,60,0,0
205,1,12,2015,7,18,2,2,2,0,0,0,0,0,0,0,0,62,0,0
206,1,12,2015,7,18,2,2,2,0,0,0,0,0,0,0,0,62,0,0
207,0,12,2015,7,18,2,2,2,0,0,0,0,0,0,0,0,62,0,0
208,0,12,2015,7,18,2,2,2,0,0,0,0,0,0,0,0,62,0,0
209,1,12,2015,7,18,2,2,2,0,0,0,0,0,0,0,0,62,0,0
210,1,12,2015,7,18,2,2,2,0,0,0,0,0,0,0,0,62,0,0
211,0,12,2015,7,18,2,2,2,0,0,0,0,0,0,0,0,62,0,0
212,0,12,2015,7,18,2,2,2,0,0,0,0,0,0,0,0,62,0,0
213,1,12,2015,7,18,2,2,2,0,0,0,0,0,0,0,0,62,0,0
214,1,12,2015,7,18,2,2,2,0,0,0,0,0,0,0,0,62,0,0
215,0,12,2015,7,18,2,2,3,0,0,0,0,0,1,0,0,84,0,0
216,1,12,2015,7,18,2,2,2,0,0,0,0,0,0,0,0,62,0,0
217,1,12,2015,7,18,2,2,2,0,0,0,0,0,0,0,0,62,0,0
218,0,12,2015,7,18,2,2,2,0,0,0,0,0,0,0,0,62,0,0
219,1,12,2015,7,18,2,2,2,0,0,0,0,0,0,0,0,62,0,0
220,0,12,2015,7,18,2,2,2,0,0,0,0,0,0,0,0,62,0,0
221,0,12,2015,7,18,2,2,1,0,0,0,0,0,0,0,0,0,0,0
222,1,12,2015,7,18,2,2,2,0,0,0,0,0,0,0,0,62,0,0
223,0,12,2015,7,18,2,2,2,0,0,0,0,0,0,0,0,62,0,0
224,0,12,2015,7,18,2,2,2,0,0,0,0,0,0,0,0,62,0,0
225,1,12,2015,7,18,2,2,2,0,0,0,0,0,0,0,0,62,0,0
226,0,12,2015,7,18,2,3,2,0,0,0,0,0,1,0,0,62,0,0
227,1,118,2015,7,19,2,0,2,0,0,0,0,0,0,0,0,85.5,0,1
228,1,82,2015,7,19,2,2,2,0,0,0,0,0,0,0,0,76.5,0,1
229,1,82,2015,7,19,2,2,2,0,0,0,0,0,0,0,0,76.5,0,1
230,1,96,2015,7,19,3,5,1,0,0,0,0,0,1,0,0,80.7,0,0
231,1,108,2015,7,19,4,7,2,0,0,0,0,0,0,0,0,76.5,0,1
232,1,119,2015,7,20,1,0,1,0,0,0,0,0,0,0,0,68,0,1
233,1,119,2015,7,20,1,0,2,0,0,0,0,0,0,0,0,76.5,0,1
234,0,90,2015,7,20,1,1,2,0,0,0,0,0,1,0,0,46.66,0,0
235,0,62,2015,7,20,1,3,2,0,0,0,0,0,0,0,0,104,0,0
236,1,67,2015,7,20,3,8,2,0,0,0,0,0,0,0,0,76.5,0,0
237,1,106,2015,7,21,0,2,2,0,0,0,0,0,0,0,0,55.08,0,0
238,0,20,2015,7,22,0,2,2,0,0,0,0,0,0,0,0,62,0,0
239,0,20,2015,7,22,0,2,2,0,0,0,0,0,0,0,0,62,0,0
240,0,20,2015,7,22,0,2,3,0,0,0,0,0,0,0,0,84,0,0
241,1,22,2015,7,22,0,2,2,0,0,0,0,0,0,2,0,62,0,0
242,1,22,2015,7,22,0,2,2,0,0,0,0,0,0,2,0,62,0,0
243,0,20,2015,7,22,0,2,2,0,0,0,0,0,0,0,0,62,0,0
244,1,20,2015,7,22,0,2,2,0,0,0,0,0,0,0,0,62,0,0
245,1,22,2015,7,22,0,2,2,0,0,0,0,0,0,2,0,62,0,0
246,1,22,2015,7,22,0,2,2,0,0,0,0,0,0,2,0,62,0,0
247,0,20,2015,7,22,0,2,2,0,0,0,0,0,0,0,0,62,0,0
248,1,20,2015,7,22,0,2,2,0,0,0,0,0,0,0,0,62,0,0
249,1,22,2015,7,22,0,2,2,0,0,0,0,0,0,2,0,62,0,0
250,0,20,2015,7,22,0,2,2,0,0,0,0,0,0,0,0,62,0,0
251,0,20,2015,7,22,0,2,2,0,0,0,0,0,0,0,0,62,0,0
252,0,20,2015,7,22,0,2,1,0,0,0,0,0,0,0,0,0,0,0
253,0,20,2015,7,22,0,2,3,0,0,0,0,0,0,0,0,84,0,0
254,0,20,2015,7,22,0,2,2,0,0,0,0,0,0,0,0,62,0,0
255,0,20,2015,7,22,0,2,2,0,0,0,0,0,0,0,0,62,0,0
256,1,22,2015,7,22,0,2,2,0,0,0,0,0,0,2,0,62,0,0
257,1,22,2015,7,22,0,2,2,0,0,0,0,0,0,2,0,62,0,0
258,0,20,2015,7,22,0,2,2,0,0,0,0,0,0,0,0,62,0,0
259,1,20,2015,7,22,0,2,2,0,0,0,0,0,0,0,0,62,0,0
260,0,20,2015,7,22,0,2,1,0,0,0,0,0,0,0,0,60,0,0
261,1,22,2015,7,22,0,2,2,0,0,0,0,0,0,2,0,62,0,0
262,1,22,2015,7,22,0,2,2,0,0,0,0,0,0,2,0,62,0,0
263,1,22,2015,7,22,0,2,2,0,0,0,0,0,0,2,0,62,0,0
264,0,20,2015,7,22,0,2,2,0,0,0,0,0,0,0,0,62,0,0
265,1,20,2015,7,22,0,2,2,0,0,0,0,0,0,0,0,62,0,0
266,0,20,2015,7,22,0,2,2,0,0,0,0,0,7,0,0,62,0,0
267,0,20,2015,7,22,0,2,2,0,0,0,0,0,0,0,0,62,0,0
268,0,20,2015,7,22,0,2,2,0,0,0,0,0,1,0,0,62,0,0
269,0,20,2015,7,22,0,2,2,0,0,0,0,0,0,0,0,62,0,0
270,1,20,2015,7,22,0,2,2,0,0,0,0,0,0,0,0,62,0,0
271,0,20,2015,7,22,0,2,3,0,0,0,0,0,1,0,0,84,0,0
272,1,99,2015,7,22,0,3,2,0,0,0,0,0,1,0,0,68.5,0,0
273,1,112,2015,7,22,0,4,2,0,0,0,0,0,0,0,0,76.5,0,0
274,1,69,2015,7,22,0,4,1,0,0,0,0,0,0,0,0,68,0,1
275,1,96,2015,7,22,1,4,2,0,0,0,0,0,0,0,0,76.5,0,1
276,1,72,2015,7,22,2,5,2,0,0,0,0,0,0,0,0,76.5,0,0
277,1,69,2015,7,22,2,5,2,0,0,0,0,0,0,0,0,76.5,0,1
278,1,69,2015,7,22,2,5,2,0,0,0,0,0,0,0,0,76.5,0,2
279,1,22,2015,7,22,0,2,2,0,0,0,0,0,0,2,0,62,0,0
280,0,20,2015,7,22,0,2,2,0,0,0,0,0,0,0,0,62,0,0
281,0,20,2015,7,22,0,2,1,0,0,0,0,0,0,0,0,0,0,0
282,0,20,2015,7,22,0,2,2,0,0,0,0,0,0,0,0,62,0,0
283,1,22,2015,7,22,0,2,2,0,0,0,0,0,0,2,0,62,0,0
284,0,111,2015,7,22,0,2,1,0,0,0,0,0,1,0,0,55.96,0,1
285,1,20,2015,7,22,0,2,2,0,0,0,0,0,0,0,0,62,0,0
286,0,20,2015,7,22,0,2,2,0,0,0,0,0,0,0,0,62,0,0
287,1,22,2015,7,22,0,2,2,0,0,0,0,0,0,2,0,62,0,0
288,1,93,2015,7,23,0,2,2,0,0,0,0,0,0,0,0,76.5,0,1
289,0,132,2015,7,23,0,1,2,0,0,0,0,0,0,0,0,90,0,0
290,0,132,2015,7,23,0,1,2,0,0,0,0,0,0,0,0,90,0,0
291,0,132,2015,7,23,0,1,2,0,0,0,0,0,0,0,0,90,0,0
292,0,132,2015,7,23,0,1,2,0,0,0,0,0,0,0,0,90,0,0
293,0,132,2015,7,23,0,1,2,0,0,0,0,0,0,0,0,90,0,0
294,0,132,2015,7,23,0,1,2,0,0,0,0,0,0,0,0,90,0,0
295,0,132,2015,7,23,0,1,2,0,0,0,0,0,0,0,0,90,0,0
296,0,132,2015,7,23,0,1,2,0,0,0,0,0,0,0,0,90,0,0
297,0,132,2015,7,23,0,1,2,0,0,0,0,0,0,0,0,90,0,0
298,0,132,2015,7,23,0,1,1,0,0,0,0,0,1,0,0,65,0,0
299,0,132,2015,7,23,0,1,2,0,0,0,0,0,0,0,0,90,0,0
300,0,132,2015,7,23,0,1,2,0,0,0,0,0,0,0,0,90,0,0
301,0,132,2015,7,23,0,1,1,0,0,0,0,0,1,0,0,0,0,0
302,0,132,2015,7,23,0,1,2,0,0,0,0,0,0,0,0,90,0,0
303,0,132,2015,7,23,0,1,2,0,0,0,0,0,0,0,0,90,0,0
304,0,132,2015,7,23,0,1,2,0,0,0,0,0,0,0,0,90,0,0
305,0,132,2015,7,23,0,1,2,0,0,0,0,0,0,0,0,90,0,0
306,0,132,2015,7,23,0,1,2,0,0,0,0,0,0,0,0,90,0,0
307,0,132,2015,7,23,0,1,2,0,0,0,0,0,0,0,0,90,0,0
308,0,132,2015,7,23,0,1,2,0,0,0,0,0,0,0,0,90,0,0
309,0,132,2015,7,23,0,1,2,0,0,0,0,0,0,0,0,90,0,0
310,0,132,2015,7,23,0,1,1,0,0,0,0,0,1,0,0,65,0,0
311,0,132,2015,7,23,0,1,2,0,0,0,0,0,0,0,0,90,0,0
312,0,132,2015,7,23,0,1,2,0,0,0,0,0,0,0,0,90,0,0
313,0,132,2015,7,23,0,1,2,0,0,0,0,0,0,0,0,90,0,0
314,0,132,2015,7,23,0,1,3,0,0,0,0,0,1,0,0,130.5,0,0
315,0,110,2015,7,23,0,1,2,0,0,0,0,0,0,0,0,98.2,0,1
316,0,132,2015,7,23,0,1,2,0,0,0,0,0,0,0,0,90,0,0
317,0,132,2015,7,23,0,1,1,0,0,0,0,0,1,0,0,0,0,0
318,0,132,2015,7,23,0,1,2,0,0,0,0,0,0,0,0,90,0,0
319,0,132,2015,7,23,0,1,2,0,0,0,0,0,0,0,0,90,0,0
320,0,132,2015,7,23,0,1,2,0,0,0,0,0,0,0,0,90,0,0
321,0,132,2015,7,23,0,1,2,0,0,0,0,0,0,0,0,90,0,0
322,0,110,2015,7,23,0,1,2,0,0,0,0,0,0,0,0,98.2,0,1
323,0,132,2015,7,23,0,1,2,0,0,0,0,0,0,0,0,90,0,0
324,0,132,2015,7,23,0,1,2,0,0,0,0,0,0,0,0,90,0,0
325,0,132,2015,7,23,0,1,2,0,0,0,0,0,0,0,0,90,0,0
326,0,132,2015,7,23,0,1,2,0,0,0,0,0,0,0,0,90,0,0
